Location,Utility,Units,Date,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totals
,,,,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,
Kew site,Electricity,kWh,01/08/2010,409.2,410.6,404.2,429.8,438,435.4,436.6,420.2,416.4,407,419.8,420.8,418.2,424.8,428.8,426.6,430.6,437.6,430.8,431.6,423.2,423,433.2,431.8,430.2,423.4,420,422.2,414,425.6,414.4,427.6,420.2,401.6,405.4,399.6,403,400.4,396.2,481.2,430.8,421.8,420.8,454.6,457.6,439.8,433.2,422.8,20354.6
Kew site,Electricity,kWh,02/08/2010,430.2,432.2,427,436.2,457,445,437.8,430,446,450,555,661.4,705.2,704,811.4,854.8,879.6,886.8,921.6,934,993.2,1016.4,940,992.4,978,976.8,969.4,974.6,969.8,938.4,874.8,840,818.2,824.2,753.4,674,635.4,632.4,620.4,613.4,604.4,590.2,581.8,586.6,584.4,569.6,571,543.8,33972.2
Kew site,Electricity,kWh,03/08/2010,554.2,556,556.4,553.8,552.6,578.2,567.8,564.2,556.2,547.6,581.2,598.8,630.6,667.4,771.6,868.4,911.6,945.4,942.8,957.6,1018,1012.4,1025.6,1031.6,1033.4,1032.2,1035.4,1028.6,1030.4,1008.4,961.8,938.8,912,896.8,808.6,753.8,714.8,686.2,665.6,667.2,641.8,634.4,609.2,599.2,614.8,605.2,604.8,581.2,36614.6
Kew site,Electricity,kWh,04/08/2010,582,592.4,611,606,605.2,597,582.8,583.6,594,586.6,613.8,627.8,669.8,704.8,808.8,887.8,915.6,957.8,967.6,973.6,1030.8,1050.2,1035.8,1030.2,1053,1051.6,1054.8,1021.8,1017,979.8,943.8,921.8,870.2,830,739,676.2,658.2,620.2,612,603,585.2,575,581.2,568.6,556.2,565.6,555.4,546.2,36400.8
Kew site,Electricity,kWh,05/08/2010,534.4,538.4,544.2,549.8,539,540.6,531.2,537.6,546.4,553.6,581,595.2,605,683.2,790.8,848.6,896,903.8,935,933.2,990.8,978.6,1002.4,1010.6,1002.2,999.4,1002.8,993.6,989.8,972.8,922.2,920,886.2,860.2,788.4,678.6,663.8,638.4,610.6,593,583.6,564,564.6,567,552.8,551.2,566,547.4,35188
Kew site,Electricity,kWh,06/08/2010,555.4,563.6,551.6,544,530.8,539.6,532.8,515.6,518.8,526.6,552,571.2,602.8,649.6,756,828.6,873.2,907.4,920.8,927.4,992.6,1006,997.2,1006.6,1004.6,1001.6,1010.2,1007,1016.6,992.2,934.2,908.4,866.2,826.8,742,704,657.2,641.6,622.4,613,616.4,605.2,601.4,604.4,605.8,601.2,600.6,596,35349.2
Kew site,Electricity,kWh,07/08/2010,599.4,592.4,592.6,603.8,592.8,594.2,575.6,577.4,587.2,589,589.2,575.2,592.4,624.8,703.2,769.8,802,813.8,844.2,844.8,855.2,863.2,854.6,864,868.2,859.8,865.2,875.8,854.8,840.4,853.8,837.2,802,784.2,703.8,659.6,502.6,434.4,419,419.2,408.4,406.2,390.2,386,399.8,399.4,392.8,387.4,31251
Kew site,Electricity,kWh,08/08/2010,386.6,390.4,396.6,393,397.4,398.8,389,387.2,384.2,381.2,389.6,379.8,391.4,394.8,399.8,401.2,395.2,393.2,404.6,415.8,415.8,406.2,405.4,404.6,389.6,395,398.4,397.8,397.4,400.4,394,403.4,400,389.2,393.4,390,381.4,389.8,388.4,393,398.8,397.6,387.6,385,379.4,381.2,386,473.6,18992.2
Kew site,Electricity,kWh,09/08/2010,418.8,431.2,447.8,445.2,446,461.4,455.2,455.2,450,439,538.2,620,683.6,694.4,776.2,818,870.4,891.4,883,915.4,945.2,954.6,991.6,991.8,1002.8,986.4,993.4,997.8,995.6,962.4,885.2,882.2,836.8,813.4,738.8,683.6,663.8,650.6,643.2,635.8,641.6,627.2,631.8,595.6,606,613,598,590.8,34299.4
Kew site,Electricity,kWh,10/08/2010,586.4,620.2,620.8,618.4,626.4,633.2,635.2,623.8,631.6,629.6,654,664,689.4,737,795.6,862.2,915.2,865.8,969.6,946.8,994.6,1004.4,1004,1019.4,1024.8,1019.4,1023.4,1005,1009,991.6,938.8,933.2,931,897.6,833.4,772.2,735,688,682.8,668.6,652.2,640.4,628.4,621.4,629.6,629,623.6,627.2,37553.2
Kew site,Electricity,kWh,11/08/2010,623.4,621.8,617.6,603.4,612.8,637.8,630,623,612.8,616.6,643.8,648.4,684,720.2,820.8,880.2,906.6,937.6,946.4,958,1008.8,1031.4,1038.6,1034,1017,1015.4,1025.4,1025.6,1025.8,1007.4,949.2,937.2,860.8,845,759.4,709.6,675.4,651.6,630,624.4,645.4,640.2,647.4,640.8,633.6,626.6,641.2,638.6,37331
Kew site,Electricity,kWh,12/08/2010,640.2,630.4,631.6,630.8,637.6,644.6,643.6,641,632.2,623.2,671.2,679.4,707.2,731.4,820,871.8,921,930.6,947.4,948.6,1001.4,1007,1002.6,1001.2,1002,1012.2,1002.8,1006.2,1013.6,985.2,949,929,900.6,839.6,728.6,641.8,615.6,605.8,582.4,574,563,532.6,529,530.4,520.6,515.4,523.8,536,36235.2
Kew site,Electricity,kWh,13/08/2010,507.4,515.8,522.2,523.8,522,503.4,520,520.8,515.8,519,552.4,558.2,584.2,637.4,773,825.8,853.4,874.6,881,904.2,958.6,953.4,973.6,964.2,962.8,965.6,954.8,942,949.2,920.2,879.2,856.4,816,788.4,686.8,611,587,566.2,553,568.6,553.2,546.8,544.4,541.4,528.6,517,534.6,530,33367.4
Kew site,Electricity,kWh,14/08/2010,533,529,532.6,537.2,545.2,545,530,526,535.4,520.8,536.2,526.8,543,573,644.6,713.6,757.6,767,770.4,778.4,790.6,794.4,792.2,788,807,816.6,810,792.8,812,808.8,793.2,771.6,742.8,713.6,637,573.6,447.8,387,380.2,368.6,375,378.4,367.6,362.2,367.8,365.8,358.2,358,28705.6
Kew site,Electricity,kWh,15/08/2010,365.6,361.2,365.4,361.2,362,351.2,361,362.6,358.4,360.4,363.4,356.6,361,390.2,386.6,382.8,398.2,430.6,414.8,411.4,443.2,434.4,433,431.4,421,438.8,438.6,428.2,413.6,436.6,431,445,444,422,410.6,424.6,409,424.4,421,432,418,409.6,393.6,389.4,405.4,401.6,399,384.2,19287.8
Kew site,Electricity,kWh,16/08/2010,388,413.2,420.2,417.8,416,412.4,400.6,413.8,423.8,443.6,511.6,589.8,628.6,644.6,729.4,793.4,815.8,836.6,843,852.2,900.8,897.2,928,908.8,937,969.2,949.8,944,966.2,944.6,891.2,864.4,852,826.8,760.2,688.6,660.8,632,615,617.4,589.8,592,588.4,575.6,561.2,561.2,567.4,543.6,32727.6
Kew site,Electricity,kWh,17/08/2010,551.6,551.6,554.8,570.4,558.2,562.6,557.6,546.6,565.2,566.6,584,612,656,696.2,782.2,849,930.6,934,962.4,955.8,1014.4,1013.8,1034.4,1041.6,1039.8,1030.4,1040.6,1036.4,1033.4,1002.2,965,954.6,936.4,910.8,838.6,758.8,719.4,688.8,663.6,630.8,625.4,632.8,597,591.2,582,572.8,578.6,562,36643
Kew site,Electricity,kWh,18/08/2010,581,569.6,571,571.8,560,526,564.8,560.2,553,532.8,560.6,585.2,614.2,665.4,753.8,827.8,853.6,867,893.4,904.4,938.4,933.2,941.6,943.8,944.6,956.4,972.4,957.4,978.2,927.6,893.2,848.6,818.2,779.8,722,663.2,631.6,619,607.2,602.6,596.2,578.4,574,584,579.2,581.2,583,549.4,34420
Kew site,Electricity,kWh,19/08/2010,573.8,580.6,579.2,585.4,585.8,582.8,575.6,561.2,573.8,562.2,571,608.4,635,683.2,785.2,867.2,893,913.4,938,948.2,983.8,983.2,989.6,984,1003.8,995.8,1003,1008.2,1004,977.8,923.2,915,896.2,876.2,779.8,723.4,673.2,642,622.2,621.4,600.8,596,590.2,581.2,568,579.4,585.6,546.6,35856.6
Kew site,Electricity,kWh,20/08/2010,576,581.6,584.6,580,574,585.4,576.6,575.4,576,583.6,606.2,622,667.8,702.2,824.4,880.4,920.6,945.8,969,980.8,1009.4,1022.2,1016,1020,1020,1019.4,1026,1007.2,1021.4,995.6,946.8,921,878.8,852.4,772.4,711.6,686.8,673.2,657.8,650.4,632.6,607.6,609.8,619,615.6,603.4,606,608,36722.8
Kew site,Electricity,kWh,21/08/2010,604.6,607.6,611.6,630.2,623,624.8,624.4,608.2,623,634.4,629.6,629.2,640.4,665.2,723.4,786.6,830.4,860.6,866.4,865,876.8,697,597.2,624.4,703.4,804.8,841.6,805.6,761,719,758.4,864.8,820.4,522.8,437,431,292.8,215,204,204,204.8,232.4,229.8,226.8,228,228,231.8,231,27682.2
Kew site,Electricity,kWh,22/08/2010,229.8,231,231.8,234,238.6,234.4,235,233.8,230.4,232.2,232.6,226.8,231.8,232.8,238,244.4,260.4,263.8,260.4,247.2,245.6,244.2,250.6,244,242.2,252.4,252.4,251.4,248.8,245.4,257.4,259,264.6,260.8,256.8,274.8,382.8,472.6,507.4,511,518.4,503.4,494.6,494.4,499.2,491.2,489.4,485.6,14669.6
Kew site,Electricity,kWh,23/08/2010,484.8,480.4,480,477,487,497.2,497.2,509.6,515.6,533.4,605.6,717,723.4,762,827.6,895.8,910,939,953.8,951.8,980.4,981.6,984.2,988.6,987.6,987.6,991.8,1099.8,1053.4,1010,955.6,926.6,895,876.6,793,727.2,697,673.2,663,651,617.2,588,579,582,575.8,571,573.2,575.2,35832.8
Kew site,Electricity,kWh,24/08/2010,547.8,557.8,563.8,561.4,567.6,561.4,562.4,527,542.2,562.6,585.2,600.2,599.4,672,777.8,844.2,858.8,885,905,907.8,957,947.6,962.6,682,924.8,1043.6,1075.8,1066.8,1057,1047.8,995,979.2,947.6,917.2,815.6,756,713.4,687.4,670.4,649,627.4,612,599,594.2,605.6,604.4,603.2,597,35928
